route_id,agency_id,"route_short_name","route_long_name","route_desc",route_type,"route_url","route_color","route_text_color"
68486,1,"430","Meersel Dreef - Hoogstraten - Turnhout - Reusel","Meerseldreef - Hoogstraten -Turnhout - Reusel/Reusel - Turnhout - Hoogstraten - Meerseldreef",3,"","005555","FFFFFF"
68487,1,"431","Turnhout - Vosselaar - Beerse - Rijkevorsel","Rijkevorsel - Beerse - Vosselaar Dorp - Turnhout/Turnhout - Vosselaar Dorp - Beerse - Rijkevorsel",3,"","8899AA","000000"
68488,1,"432","Brecht-Rijkevorsel-Merksplas-Turnhout-Arendonk","Brecht - Rijkevorsel - Merksplas - Turnhout - Arendonk/Arendonk - Turnhout - Merksplas - Rijkevorsel - Brecht",3,"","771133","FFFFFF"
68489,1,"433","Turnhout-Beerse-Rijkevorsel-Hoogstraten","Hoogstraten - Beerse - Turnhout/Turnhout - Beerse - Hoogstraten",3,"","AACCEE","000000"
68490,1,"434","Turnhout - Beerse - Merksplas - Hoogstraten","Hoogstraten -Turnhout/Turnhout - Hoogstraten",3,"","77CCAA","000000"
68491,1,"435","Turnhout Markt-Industrie-Vosselaar-Hoogstraten","Hoogstraten - Turnhout/Turnhout - Hoogstraten",3,"","444411","FFFFFF"
68492,1,"436","Loenhout - Brecht","Loenhout - Brecht/Brecht - Loenhout",3,"","FFCC11","000000"
68493,1,"440","Oostmalle - Brecht","Oostmalle - Brecht/Brecht -  Oostmalle",3,"","FFCCAA","000000"
68494,1,"441","Wildert - Wuustwezel","Wildert - Wuustwezel/Wuustwezel - Wildert",3,"","FF88AA","000000"
68495,1,"442","Sint-Lenaarts - Wuustwezel - Kalmthout","Kalmthout - Wuustwezel - Sint-Lenaarts/Sint-Lenaarts - Wuustwezel - Kalmthout",3,"","77CCAA","000000"
68496,1,"443","Sint Job - Kalmthout","Kalmthout - Sint-Job/Sint-Job - Kalmthout",3,"","1199DD","FFFFFF"
68497,1,"444","Wuustwezel - Gooreind - Maria-Ter-Heide - Essen","Essen - Maria-ter-Heide - Gooreind - Wuustwezel/Wuustwezel - Gooreind - Maria-ter-Heide - Essen",3,"","444411","FFFFFF"
68498,1,"445","Brasschaat - Gooreind - Kalmthout","Kalmthout - Gooreind - Brasschaat/Brasschaat - Gooreind - Kalmthout",3,"","C5AA77","000000"
68499,1,"446","Nieuwmoer - Brecht - scholen Malle","Nieuwmoer - Brecht - Oostmalle/Oostmalle - Brecht - Nieuwmoer",3,"","EE8822","FFFFFF"
68500,1,"447","Essen Hoek - Horendonk - Wuustwezel","Essen Hoek - Horendonk - Wuustwezel/Wuustwezel - Horendonk - Essen Hoek",3,"","0099AA","000000"
68501,1,"448","Brecht -Wuustwezel - Essen","Essen - Wuustwezel - Brecht/Brecht - Wuustwezel - Essen",3,"","0044BB","FFFFFF"
